state,year,killed,source_pdf,source_page
Uttar Pradesh,2017,20124,2019,62-63
Uttar Pradesh,2018,22256,2019,62-63
Uttar Pradesh,2019,22655,2023,94
Uttar Pradesh,2020,19149,2023,94
Uttar Pradesh,2021,21227,2023,94
Uttar Pradesh,2022,22595,2023,94
West Bengal,2010,5680,2010,44
West Bengal,2011,5664,2014,66
West Bengal,2012,5397,2014,66
West Bengal,2013,5504,2014,66
West Bengal,2014,5875,2014,66
West Bengal,2015,6234,2019,62-63
West Bengal,2016,6544,2019,62-63
West Bengal,2017,5769,2019,62-63
West Bengal,2018,5711,2019,62-63
West Bengal,2019,5767,2023,94
West Bengal,2020,5128,2023,94
West Bengal,2021,5800,2023,94
West Bengal,2022,6002,2023,94
